author,channel,cid,heart,photo,text,time,votes
Bony Hardian,UCMwWD_Opk5CkpxzOoHGYiwQ,UgxOfz5sjePCmSOS0GB4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLTr7idSvYdim5oDob56a9SE2iVDUiClKpUeEYoUvw=s176-c-k-c0x00ffffff-no-rj,"Cakep betul ini mobil..
Yang pengen banget punya mobil ini, saya doakan terwujud keinginannya.
Aamiin",23 hours ago,0
bow Creative,UCW9XnyE7xfrw4o2kH-afKkw,UgwXAfoER-WQSOMjYa94AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSPghntoeKBKbZ7K7TEb8xshOz8qHIyoJXTZv0ORw=s176-c-k-c0x00ffffff-no-rj,Belanja mobil teroos 😂😂,1 day ago,0
Sugeng Dwiyanto,UCIQDTWVryxkzCLkIh4ezkvw,Ugxdhw18KHrV1XqwLZZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQqKTSbmnWURf31uUnxnlN-mhMzd16ZK6nseg=s176-c-k-c0x00ffffff-no-rj,"Selalu suka lihat ulasan om Fitra... pertama kali lihat raize langsung kagum,...tp gak berdaya buat ganti mobil 😭😭😭 nikmati aja yg aku punya AVANZA 👍👍👍👍",4 days ago,0
kate,UCWIH9qZ8_k7k4guWh93bWQA,Ugy2uwOmciYToy7aTjt4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSZP11Uc33-xleRVw1tLq_Af3Rbehg9MpPRzWlBzw=s176-c-k-c0x00ffffff-no-rj,"bs beli , amin",5 days ago,0
Mr Sunshine,UCk2l-z5yVNnXMpRKL358RgA,Ugx0I6Ra1g8thcFC1uZ4AaABAg,0.0,https://yt3.ggpht.com/DQQYoaQg4h-LJ0v1Me6vCFAesP1Zqb0heKe1Otp3-KuwFgQUfcypU_x3r1lPvPcuzHYOR9dgag=s176-c-k-c0x00ffffff-no-rj,Gak nyesel beli raize bunggg enak bettttt,6 days ago,0
Ho'oponopono,UCR6dmH4j7FfVgYVXnDSKPgw,UgzASb9G0eVsu_1e1MR4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSID17efN5hdv8GPp2wQ7P5TU-jHFePFrDZhaQFfA=s176-c-k-c0x00ffffff-no-rj,6:11 pas ngomong kekar langsung ada efek daun jatuh secara natural.... alam mengatakan setuju akan hal itu,7 days ago,0
Halimah Imah,UCab0HfArleqXL5KW1nxWjOg,Ugx0Q-WKYMsJ2J0vt814AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQo6fLC8HA6fWwg4nnzcHr9-HroZWb8B11hTA=s176-c-k-c0x00ffffff-no-rj,buat aplikasi itu yg gampang di ketik jgn buat diri sendiri  jiaz jgb di buat ribet klo mau bnyak yg pkai aplikasinya,7 days ago,0
RAHBINI TV,UCU7L2hI7QDzDMX23TCUC5vw,UgyS7KQye_teR3HOPnx4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQr08LWzYquBP_NVDWhGP8N5grnRzBOuhQIsn1kFik=s176-c-k-c0x00ffffff-no-rj,"menit ke 28, kok dibandingin sama mercy dan bmw, om.... ah, saya menilai ini kurang obyektif..... weleh weleh....",11 days ago,0
aan,UCjVOgRpGDJzD_bTCFrgy9gA,UgzKiKRdKPwh7prtBiJ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSYrBbvAchAagn7JjpIeDIdPaaZAFaamThl99VUEA=s176-c-k-c0x00ffffff-no-rj,"Makasih, mungkin beli second nya sepuluh taun lagi",12 days ago,0
Alex Renji,UCStlMOTuZfzIP2gOXIjjzWw,UgwIQHd9eHn3rSAqfTN4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQObP-TmzGudgRijHmHTMJa54mAIvEKnX5FwKJe=s176-c-k-c0x00ffffff-no-rj,Kapal Api bikin dong Varian non sugar..,2 weeks ago,0
